customer_id,signup,first_tx,days_since_signup,avg_days_btwn,cat_div,pref_payment
1,2022-01-28,2023-02-05 16:03:00,373,93.25,3,PayPal
2,2023-10-28,2023-10-30 06:36:00,2,194.5,2,Bank Transfer
3,2023-04-05,2023-02-04 06:44:00,-60,22.137931034482758,3,Bank Transfer
4,2022-01-07,2023-04-28 16:11:00,476,62.285714285714285,3,Bank Transfer
5,2022-12-15,2023-05-19 02:58:00,155,111.75,2,Bank Transfer
6,2024-02-21,2023-07-06 00:53:00,-230,105.8,4,Bank Transfer
7,2023-01-25,2023-02-07 12:42:00,13,251.5,2,Credit Card
8,2022-12-19,2023-01-16 08:51:00,28,231.0,3,Bank Transfer
9,2022-02-14,2023-08-20 19:57:00,552,84.66666666666667,2,PayPal
10,2023-01-23,2023-01-05 05:09:00,-18,34.04761904761905,1,Credit Card
11,2023-10-06,2023-01-11 22:05:00,-268,19.22222222222222,1,Debit Card
12,2023-01-06,2023-12-22 22:30:00,350,0.0,1,Credit Card
13,2022-03-13,2023-03-18 10:01:00,370,156.75,1,Bank Transfer
14,2024-03-02,2023-09-10 09:53:00,-174,222.0,1,PayPal
15,2022-08-27,2023-04-30 11:11:00,246,159.0,3,PayPal
16,2023-04-10,2023-11-29 00:25:00,233,71.66666666666667,1,Bank Transfer
17,2022-12-30,2023-07-13 23:30:00,195,55.6,1,Debit Card
18,2023-12-20,2023-03-30 17:12:00,-265,87.42857142857143,3,Credit Card
19,2022-06-25,2023-01-11 09:39:00,200,19.62857142857143,3,Credit Card
20,2022-06-17,2023-01-11 08:13:00,208,31.318181818181817,1,Cash
21,2023-10-18,2023-01-08 23:23:00,-283,18.027027027027028,1,Credit Card
22,2022-11-29,2024-11-17 13:00:00,719,,1,Bank Transfer
23,2022-02-02,2023-01-05 04:41:00,337,250.0,1,Cash
24,2022-03-09,2023-02-20 15:30:00,348,132.75,3,Cash
25,2023-08-04,2023-01-28 13:08:00,-188,481.0,1,Bank Transfer
26,2023-05-27,2023-02-22 19:30:00,-94,103.33333333333333,1,Bank Transfer
27,2023-10-21,2023-02-07 03:18:00,-256,17.513513513513512,4,Credit Card
28,2022-05-23,2023-01-04 05:28:00,226,15.840909090909092,4,Debit Card
29,2023-07-06,2023-03-02 13:49:00,-126,65.1,3,Cash
30,2023-03-15,2023-04-03 11:43:00,19,210.5,2,Bank Transfer
31,2022-08-13,2023-03-04 01:33:00,203,20.40625,2,Credit Card
32,2022-04-04,2023-04-08 21:47:00,369,264.5,1,Bank Transfer
33,2022-06-06,2023-01-31 14:38:00,239,104.16666666666667,2,Debit Card
34,2023-03-09,2023-03-24 17:07:00,15,112.2,2,PayPal
35,2023-01-26,2023-04-29 04:13:00,93,99.0,3,Debit Card
36,2023-06-26,2023-04-29 12:54:00,-58,88.2,2,Debit Card
37,2022-01-12,2023-01-03 10:38:00,356,39.23529411764706,1,Cash
38,2023-07-04,2023-01-03 06:33:00,-182,15.28888888888889,1,Bank Transfer
39,2022-12-15,2023-01-22 05:00:00,38,362.0,2,Bank Transfer
40,2022-06-11,2024-11-09 19:01:00,882,,1,Credit Card
41,2024-01-10,2023-01-15 07:16:00,-360,39.94117647058823,3,Credit Card
42,2024-02-20,2024-06-11 21:42:00,112,76.0,2,Credit Card
43,2022-04-19,2023-02-22 00:40:00,309,127.6,3,PayPal
44,2023-06-04,2023-01-13 00:26:00,-142,24.071428571428573,2,PayPal
45,2023-01-18,2023-05-20 15:57:00,122,134.0,1,Bank Transfer
46,2024-03-08,2023-09-17 11:33:00,-173,114.75,2,PayPal
47,2023-09-06,2024-04-17 23:32:00,224,239.0,1,Bank Transfer
48,2022-04-25,2023-04-21 01:16:00,361,52.22222222222222,2,PayPal
49,2022-11-11,2023-04-07 21:27:00,147,81.28571428571429,3,Debit Card
50,2023-08-04,2023-03-07 23:40:00,-150,122.4,2,PayPal
51,2023-05-13,2023-02-04 09:01:00,-98,16.375,1,Bank Transfer
52,2023-06-30,2023-05-06 04:53:00,-55,141.66666666666666,1,Cash
53,2023-05-02,2024-01-09 13:05:00,252,,1,PayPal
54,2023-06-25,2023-03-07 04:33:00,-110,143.0,3,Bank Transfer
55,2022-08-05,2023-05-21 01:44:00,289,75.71428571428571,4,Bank Transfer
56,2023-12-08,2023-09-06 23:28:00,-93,360.0,1,Bank Transfer
57,2023-02-13,2023-02-23 18:27:00,10,142.0,3,Cash
58,2023-06-14,2023-12-07 21:35:00,176,104.33333333333333,1,Debit Card
