customer_id,last,freq,money,recency,R,F,M,Segment
1,2024-02-15 05:18:00,5,1424.99,320,Low,Med,Med,Low Med Med
2,2024-11-23 13:14:00,3,641.99,38,High,Low,Low,High Low Low
3,2024-11-23 03:16:00,30,11180.42,38,High,High,High,High High High
4,2024-07-11 23:40:00,8,4383.63,172,Med,High,High,Med High High
5,2024-08-09 23:01:00,5,1920.98,143,Med,Med,Med,Med Med Med
6,2024-12-19 04:54:00,6,2640.97,12,High,Med,High,High Med High
7,2024-06-25 06:33:00,3,1415.49,189,Low,Low,Med,Low Low Med
8,2024-04-23 23:59:00,3,941.25,251,Low,Low,Low,Low Low Low
9,2024-05-02 15:17:00,4,3080.1800000000003,243,Low,Med,High,Low Med High
10,2024-12-28 22:29:00,22,9368.612000171262,2,High,High,High,High High High
11,2024-12-21 23:01:00,37,17411.174550136584,9,High,High,High,High High High
12,2023-12-22 23:11:00,4,1320.49,374,Low,Med,Med,Low Med Med
13,2024-12-06 01:27:00,5,1190.69,25,High,Med,Med,High Med Med
14,2024-11-28 20:57:00,3,505.32,33,High,Low,Low,High Low Low
15,2024-08-21 04:27:00,4,1653.16,132,Med,Med,Med,Med Med Med
16,2024-07-02 12:56:00,4,1370.6799999999998,182,Med,Med,Med,Med Med Med
17,2024-04-19 01:00:00,6,3755.6400000000003,256,Low,Med,High,Low Med High
18,2024-12-05 11:22:00,8,2881.7,26,High,High,High,High High High
19,2024-12-17 12:51:00,36,11140.27,14,High,High,High,High High High
20,2024-12-11 12:20:00,23,7292.82,20,High,High,High,High High High
21,2024-11-24 14:12:00,38,11376.48,37,High,High,High,High High High
22,2024-11-17 13:00:00,1,502.66,44,High,Low,Low,High Low Low
23,2024-05-21 02:38:00,3,1579.5,224,Low,Low,Med,Low Low Med
24,2024-08-07 08:15:00,5,2007.76,146,Med,Med,Med,Med Med Med
25,2024-05-24 02:43:00,2,491.80999999999995,221,Low,Low,Low,Low Low Low
26,2024-11-06 16:33:00,7,2973.47,55,High,High,High,High High High
27,2024-12-06 02:38:00,38,16371.897494524434,25,High,High,High,High High High
28,2024-12-23 10:01:00,45,16091.11,8,High,High,High,High High High
29,2024-12-17 02:11:00,11,3818.3599999999997,14,High,High,High,High High High
30,2024-05-29 10:58:00,3,607.97,216,Low,Low,Low,Low Low Low
31,2024-12-30 00:30:00,33,19436.87,1,High,High,High,High High High
32,2024-09-20 01:54:00,3,212.59,102,Med,Low,Low,Med Low Low
33,2024-10-20 18:07:00,7,3128.79,72,Med,High,High,Med High High
34,2024-10-06 08:52:00,6,2370.5099999999998,86,Med,Med,High,Med Med High
35,2024-09-07 11:20:00,6,2318.97,115,Med,Med,Med,Med Med Med
36,2024-07-17 00:23:00,6,3051.0999999999995,167,Med,Med,High,Med Med High
37,2024-11-07 10:06:00,18,7622.7,54,High,High,High,High High High
38,2024-12-18 12:38:00,46,11002.630000000001,13,High,High,High,High High High
39,2024-01-19 19:43:00,2,392.91,347,Low,Low,Low,Low Low Low
40,2024-11-09 19:01:00,1,183.82,52,High,Low,Low,High Low Low
41,2024-12-01 23:24:00,18,8359.86,29,High,High,High,High High High
42,2024-08-27 00:02:00,2,169.0,126,Med,Low,Low,Med Low Low
43,2024-11-23 21:15:00,6,1828.42,38,High,Med,Med,High Med Med
44,2024-11-28 21:07:00,29,10351.28,33,High,High,High,High High High
45,2023-10-01 17:49:00,2,2293.4199999999996,457,Low,Low,Med,Low Low Med
46,2024-12-21 18:26:00,5,1722.77,10,High,Med,Med,High Med Med
47,2024-12-13 15:04:00,2,521.87,18,High,Low,Low,High Low Low
48,2024-08-07 02:12:00,10,4521.6,146,Med,High,High,Med High High
49,2024-10-30 19:30:00,8,1377.77,62,Med,High,Med,Med High Med
50,2024-11-10 14:31:00,6,3385.09,51,High,Med,High,High Med High
51,2024-12-07 21:49:00,41,19701.5,24,High,High,High,High High High
52,2024-07-05 20:14:00,4,656.6600000000001,179,Med,Med,Low,Med Med Low
53,2024-01-09 13:05:00,1,63.08,357,Low,Low,Low,Low Low Low
54,2024-05-11 09:02:00,4,1919.9099999999999,234,Low,Med,Med,Low Med Med
